index,0,1,2
0,9.975977106830793,-0.322217196,6.293066114258482
1,9.914405310961147,-0.223307623,6.568033887226555
2,9.84905877238584,-0.124835194,6.850579119624593
3,9.77986780099318,-0.026838921,7.140387308457091
4,9.706766575716713,0.07064142775135106,7.437077266566175
5,9.629693838356825,0.1675653665724999,7.740197249270792
6,9.548593624088658,0.26389174206496113,8.049221418012014
7,9.463416024719859,0.35957878774766,8.36354674067669
8,9.374117979727895,0.4545841875330806,8.682490434788527
9,9.280664089015547,0.5488651472234222,9.00528806471834
10,9.183027440192614,0.6423784743647368,9.331092407033848
11,9.0811904420443,0.7350806665804205,9.65897319863109
12,8.97514565470873,0.8269280084164784,9.987917879914852
13,8.864896605989168,0.9178766766306431,10.316833439600735
14,8.750458582205683,1.0078828537462519,10.644549458322306
15,8.63185938108507,1.0969028495707156,10.969822434846556
16,8.50914001343772,1.1848932302487756,11.291341461139124
17,8.382355339818192,1.2718109542842908,11.607735290722795
18,8.251574628054417,1.3576135148232178,11.917580818847155
19,8.116882017498911,1.4422590873473313,12.219412963229635
20,7.978376876139879,1.5257066817860672,12.511735901038708
21,7.836174037340745,1.6079162979159807,12.793035582082531
22,7.690403903975017,1.6888490827872853,13.061793400766465
23,7.541212409100831,1.768467488798532,13.31650087141339
24,7.388760824075364,1.8467354309375417,13.55567511429296
25,7.233225407128994,1.9236184416229547,13.777874924597187
26,7.074796887873791,1.9990838215197813,13.981717165116768
27,6.913679785966532,2.07310078466729,14.165893197003133
28,6.750091565124473,2.1456405962511726,14.3291850431579
29,6.584261626830521,2.2166767013761755,14.470480966729765
30,6.416430151279824,2.2861848432515663,14.588790143937452
31,6.24684679631993,2.354143169290297,14.683256116683651
32,6.075769268224233,2.420532323742919,14.753168726513778
33,5.9034617810146575,2.4853355256377028,14.797974257323506
34,5.730193423618785,2.548538630976427,14.817283549311318
35,5.556236456320706,2.610130178337478,14.810877890054059
36,5.381864559666951,2.670101417259957,14.778712538899402
37,5.207351060157891,2.7284463190193904,14.720917796417593
38,5.0329671576479695,2.7851615696518675,14.637797589467919
39,4.8589801793731064,2.8402465453331045,14.529825602376432
40,4.685651884920178,2.893703270466051,14.397639043594394
41,4.513236845273187,2.9455363590693104,14.242030192869942
42,4.3419809173559205,2.995752940283268,14.063935924440585
43,4.172119833302369,3.0443625690162586,13.864425445325878
44,4.0038779211003845,3.0913771229350395,13.644686523095848
45,3.837466970359255,3.1368106871585852,13.406010503540514
46,3.6730852538437797,3.1806794281391775,13.149776434931741
47,3.5109167121951255,3.223001458308199,12.877434621952215
48,3.351130306020067,3.2637966931252445,12.590489929187966
49,3.193879536367899,3.303086702198376,12.290485142036738
50,3.0393021316125424,3.340894556141709,11.97898467298643
51,2.887519895988865,3.3772446708059407,11.65755887471864
52,2.7386387125563103,3.4121626504604783,11.327769189806478
53,2.5927486912242825,3.4456751314256753,10.991154331396817
54,2.449924450701994,3.47780962755373,10.649217651691313
55,2.310225521845553,3.508594378840859,10.303415816696749
56,2.1736968588681473,3.5380582043251683,9.9551488679091
57,2.040369444244144,3.566230360287998,9.605751715464155
58,1.9102609728532052,3.593140404635019,9.256487073771156
59,1.7833766009462106,3.618818068190352,8.908539820472157
60,1.6597097458346726,3.6432931334955128,8.563012733251417
61,1.5392429227691908,3.6665953215676597,8.220923536862417
62,1.4219486062378837,3.688754186940758,7.883203174861732
63,1.3077901038399284,3.7097990211905905,7.550695206890626
64,1.1967224319307863,3.7297587650315225,7.224156222739861
65,1.0886931833552331,3.748661928970506,6.90425715857589
66,0.9836433787462068,3.7665365224126415,6.59158539822243
67,0.8815082940399613,3.783409991032964,6.286647542854546
68,0.7822182580137474,3.7993091621609882,5.989872735419826
69,0.6856994147684617,3.814260197867667,5.70161643109562
70,0.5918744471371783,3.8282885553983172,5.422164511677306
71,0.5006632579872939,3.841418954559129,5.151737649552057
72,0.4119836072892984,3.8536753516383313,4.890495835463508
73,0.3257517036426418,3.8650809194251217,4.638542993276372
74,0.24188274967571577,3.875658032879205,4.395931614114323
75,0.16029144137216422,3.8854282600002947,4.162667351324729
76,0.08089242192140707,3.8944123574493643,3.93871352652219
77,0.0036006911509652434,3.9026302704808957,3.7239955053249765
78,-0.071668028,3.910101136757024,3.518404909210667
79,-0.144996964,3.9168432936295856,3.3218036371012127
80,-0.216468012,3.9228742884938854,3.134027676796258
81,-0.286161484,3.9282108918378893,2.954890692185884
82,-0.354155893,3.932869112631923,2.784187377290565
83,-0.420527776,3.9368642157263194,2.6216965726146944
84,-0.485351538,3.940210740947348,2.4671841430912886
85,-0.548699334,3.9429225236048118,2.320405620079649
86,-0.610640964,3.9450127161475765,2.181108612501466
87,-0.671243804,3.94649381072574,2.0490349943146464
88,-0.73057275,3.9473776624399632,1.9239228771800976
89,-0.788690183,3.947675513079455,1.8055083784269657
90,-0.845655951,3.94739801517015,1.693527195317116
91,-0.901527365,3.9465552561736046,1.5877159971983335
92,-0.956359215,3.9451567826950393,1.4878136474630914
93,-1.010203784,3.9432116245757034,1.393562267337586
94,-1.063110886,3.9407283187603244,1.3047081534520302
95,-1.115127904,3.937714932844863,1.2210025609220887
96,-1.166299841,3.9341790882230874,1.1422023633330867
97,-1.216669372,3.930127982762693,1.068070600589799
98,-1.266276907,3.9255684129528254,0.9983769250982897
99,-1.315160651,3.920506795474983,0.9328979562021553
100,-1.363356673,3.914949188158433,0.8714175522204213
101,-1.41089898,3.9089013102895005,0.8137270088422233
102,-1.457819582,3.9023685622514783,0.7596251920358903
103,-1.50414857,3.8953560444784805,0.7089186130365105
104,-1.549914186,3.887868575712409,0.6614214523940257
105,-1.595142903,3.8799107105573434,0.6169555394992171
