index,value
462,0.44105
463,0.41668
464,0.702
465,1.4566
466,1.8101
467,1.7467
468,1.6036
469,1.7341
470,1.6231
471,1.0244
472,0.74478
473,0.73013
474,0.74279
475,0.66219
476,1.1076
477,1.717
478,1.9726
479,2.0702
480,2.0791
481,2.0237
482,1.3574
483,0.82534
484,0.56532
485,0.45429
486,0.41686
487,0.63306
488,1.3697
489,1.7954
490,1.7554
491,1.6215
492,1.694
493,1.6997
494,1.083
495,0.77004
496,0.72662
497,0.74983
498,0.65189
499,1.0197
500,1.6608
501,1.9537
502,2.0628
503,2.0838
504,2.0631
505,1.4479
506,0.87449
507,0.58602
508,0.46191
509,0.4168
510,0.57284
511,1.2731
512,1.7726
513,1.7694
514,1.6347
515,1.6532
516,1.7646
517,1.1492
518,0.79093
519,0.71997
520,0.75583
521,0.65328
522,0.93654
523,1.5975
524,1.932
525,2.0543
526,2.0869
527,2.0856
528,1.543
529,0.92985
530,0.60988
531,0.46957
532,0.41787
533,0.52299
534,1.1699
535,1.7441
536,1.7789
537,1.6452
538,1.6187
539,1.8114
540,1.221
541,0.82016
542,0.72661
543,0.76502
544,0.66604
545,0.86383
546,1.5274
547,1.9054
548,2.0455
549,2.0886
550,2.0948
551,1.6378
552,0.98937
553,0.6405
554,0.48315
555,0.42264
556,0.48552
557,1.0667
558,1.7067
559,1.7943
560,1.6662
561,1.6011
562,1.8373
563,1.2981
564,0.84996
565,0.71933
566,0.7582
567,0.67743
568,0.79863
569,1.4506
570,1.8746
571,2.0334
572,2.0838
573,2.0928
574,1.7322
575,1.0544
576,0.66987
577,0.495
578,0.42843
579,0.45779
580,0.96454
581,1.6582
582,1.8029
583,1.6846
584,1.5928
585,1.8388
586,1.3798
587,0.88689
588,0.72356
589,0.74591
590,0.69116
591,0.74465
592,1.3666
593,1.8409
594,2.019
595,2.0826
596,2.0838
597,1.8222
598,1.1247
599,0.70406
600,0.50969
601,0.43603
602,0.43946
603,0.86692
604,1.5988
605,1.8387
606,1.7249
607,1.6035
608,1.822
609,1.4661
610,0.92327
611,0.71418
612,0.72916
613,0.69999
614,0.69889
615,1.2772
616,1.803
617,2.0011
618,2.0772
619,2.0766
620,1.9057
621,1.2001
622,0.74353
623,0.52777
624,0.43857
625,0.42539
626,0.77608
627,1.5286
628,1.8103
629,1.7217
630,1.5966
631,1.7781
632,1.5493
633,0.97618
634,0.73971
635,0.73059
636,0.72578
637,0.67571
638,1.1884
639,1.7597
640,1.9974
641,2.0801
642,2.0803
643,1.9749
644,1.2815
645,0.78176
646,0.53748
647,0.44334
648,0.4175
649,0.69495
650,1.4494
651,1.7955
652,1.7249
653,1.599
654,1.7285
655,1.6298
656,1.0312
657,0.76218
658,0.74343
659,0.75094
660,0.66407
661,1.1007
662,1.7095
663,1.9804
664,2.0758
665,2.0834
666,2.029
667,1.3673
668,0.82809
669,0.56068
670,0.45183
671,0.41467
672,0.62546
673,1.3598
674,1.7868
675,1.7474
676,1.6141
677,1.6841
678,1.7056
679,1.0905
680,0.7749
681,0.72817
682,0.75654
683,0.65538
684,1.0125
685,1.6534
686,1.9704
687,2.0711
688,2.0851
689,2.066
690,1.4579
691,0.87657
692,0.58166
693,0.45878
694,0.41507
695,0.56658
696,1.2635
697,1.7664
698,1.7599
699,1.6264
700,1.6444
701,1.7683
702,1.1557
703,0.79901
704,0.73179
705,0.76666
706,0.65953
707,0.93235
708,1.5906
709,1.9399
710,2.0624
711,2.0882
712,2.0872
713,1.5507
714,0.93275
715,0.6076
716,0.46826
717,0.41731
718,0.51934
719,1.1618
720,1.7397
721,1.7749
722,1.6428
723,1.6145
724,1.8134
725,1.2268
726,0.82482
727,0.72981
728,0.76845
729,0.66911
730,0.85955
731,1.5213
732,1.9032
733,2.0451
734,2.0887
735,2.0953
736,1.6452
737,0.99438
738,0.63899
739,0.48195
740,0.42207
741,0.48277
742,1.0584
743,1.7023
744,1.7921
745,1.6641
746,1.5977
747,1.8374
748,1.3042
749,0.85329
750,0.72065
751,0.75722
752,0.67936
753,0.79459
754,1.444
755,1.879
756,2.0409
757,2.0876
758,2.092
759,1.7392
760,1.0589
761,0.66724
762,0.49151
763,0.42709
764,0.45546
765,0.95682
766,1.6542
767,1.7949
768,1.6771
769,1.5875
770,1.8358
771,1.3845
772,0.89182
773,0.72243
774,0.67995
775,0.65769
776,0.72966
777,1.3558
778,1.8364
779,2.0051
780,2.0592
781,2.0616
782,1.8261
783,1.1315
784,0.70737
785,0.5202
786,0.44815
787,0.44601
788,0.86223
789,1.5942
790,1.8188
791,1.7302
792,1.6246
793,1.8324
794,1.4764
795,0.93144
796,0.72193
797,0.71922
798,0.68621
799,0.68671
800,1.2638
801,1.7981
802,1.9994
803,2.0732
804,2.0638
805,1.9131
806,1.2109
807,0.74968
808,0.53318
809,0.44662
810,0.42925
811,0.76679
812,1.5192
813,1.8122
814,1.7323
815,1.6136
816,1.7825
817,1.5632
818,0.98307
819,0.73646
820,0.72571
821,0.71684
822,0.66579
823,1.1723
824,1.7521
825,1.9875
826,2.0748
827,2.0716
828,1.9831
829,1.2949
830,0.78945
831,0.54749
832,0.44994
833,0.42046
834,0.68445
835,1.4353
836,1.7999
837,1.7404
838,1.6147
839,1.7297
840,1.6457
841,1.0404
842,0.75704
843,0.72853
844,0.73943
845,0.65463
846,1.0818
847,1.7003
848,1.9675
849,2.0676
850,2.0755
851,2.0352
852,1.3833
853,0.83968
854,0.57193
855,0.45802
856,0.41823
857,0.61536
858,1.3423
859,1.789
860,1.7616
861,1.6295
862,1.6853
863,1.7212
864,1.102
865,0.77302
866,0.69837
867,0.72552
868,0.64194
869,0.99079
870,1.6418
871,1.9495
872,2.0569
873,2.0713
874,2.0659
875,1.476
876,0.89032
877,0.59353
878,0.46803
879,0.42183
880,0.55916
881,1.2437
882,1.7663
883,1.7773
884,1.6493
885,1.6529
886,1.7842
887,1.1708
888,0.79917
889,0.71836
890,0.74893
891,0.64893
892,0.90998
893,1.5761
